item,itemLabel
http://www.wikidata.org/entity/Q1272613,Ludo Bagman
http://www.wikidata.org/entity/Q2344630,Norberta
http://www.wikidata.org/entity/Q14905943,Fat Lady
http://www.wikidata.org/entity/Q4200823,Jimmy Peakes
http://www.wikidata.org/entity/Q15269290,Cedrella Black
http://www.wikidata.org/entity/Q15269453,Dominique Weasley
http://www.wikidata.org/entity/Q15269368,Ursula Flint
http://www.wikidata.org/entity/Q15272816,Lucretia Black
http://www.wikidata.org/entity/Q15272922,Violetta Bulstrode
http://www.wikidata.org/entity/Q5569519,John Dawlish
http://www.wikidata.org/entity/Q19706626,Emeric the Evil
http://www.wikidata.org/entity/Q845403,Nagini
http://www.wikidata.org/entity/Q1250951,Cornelius Fudge
http://www.wikidata.org/entity/Q1258661,Quirinus Quirrell
http://www.wikidata.org/entity/Q2182794,Tom Riddle
http://www.wikidata.org/entity/Q1858076,Morfin Gaunt
http://www.wikidata.org/entity/Q713701,Sirius Black
http://www.wikidata.org/entity/Q2630435,Emmeline Vance
http://www.wikidata.org/entity/Q2787631,Pigwidgeon
http://www.wikidata.org/entity/Q1770841,Regulus Black
http://www.wikidata.org/entity/Q3246958,Mosag
http://www.wikidata.org/entity/Q3740905,Sorting Hat
http://www.wikidata.org/entity/Q5697359,Antioch Peverell
http://www.wikidata.org/entity/Q5709712,Astoria Greengrass
http://www.wikidata.org/entity/Q5738985,Cadmus Peverell
http://www.wikidata.org/entity/Q190282,Luna Lovegood
http://www.wikidata.org/entity/Q1254953,Dobby
http://www.wikidata.org/entity/Q842506,Armando Dippet
http://www.wikidata.org/entity/Q1906358,Walden Macnair
http://www.wikidata.org/entity/Q2117709,Broderick Bode
http://www.wikidata.org/entity/Q208657,Remus Lupin
http://www.wikidata.org/entity/Q841308,Rufus Scrimgeour
http://www.wikidata.org/entity/Q842178,Lucius Malfoy
http://www.wikidata.org/entity/Q11293118,Augusta Longbottom
http://www.wikidata.org/entity/Q11294901,Caractacus Burke
http://www.wikidata.org/entity/Q11330978,Bilius Weasley
http://www.wikidata.org/entity/Q1190608,Newt Scamander
http://www.wikidata.org/entity/Q1256952,Filius Flitwick
http://www.wikidata.org/entity/Q1274151,Frank Bryce
http://www.wikidata.org/entity/Q1560696,Romilda Vane
http://www.wikidata.org/entity/Q1875912,Ariana Dumbledore
http://www.wikidata.org/entity/Q2216498,Marvolo Gaunt
http://www.wikidata.org/entity/Q1000118,Peter Pettigrew
http://www.wikidata.org/entity/Q14388733,Gregorovitch
http://www.wikidata.org/entity/Q928596,Salazar Slytherin
http://www.wikidata.org/entity/Q1255759,Igor Karkaroff
http://www.wikidata.org/entity/Q2292217,Amycus Carrow
http://www.wikidata.org/entity/Q2674728,Rowena Ravenclaw
http://www.wikidata.org/entity/Q2704239,Bertha Jorkins
http://www.wikidata.org/entity/Q3221958,Seamus Finnigan
http://www.wikidata.org/entity/Q3223764,Argus Filch
http://www.wikidata.org/entity/Q3278614,Andromeda Tonks
http://www.wikidata.org/entity/Q3279123,Crookshanks
http://www.wikidata.org/entity/Q3286529,Madam Rosmerta
http://www.wikidata.org/entity/Q3291810,Mundungus Fletcher
