Občina,Površina [km²],Število prebivalcev,AMBROŽIČ,BABIČ,BAJC,BERGANT,BEVC,BEZJAK,BIZJAK,BLATNIK,BLAŽIČ,BOGATAJ,BOŽIČ,BREGAR,BREZNIK,BUKOVEC,BUČAR,CERAR,CVETKO,DEBELJAK,DEMŠAR,DOLENC,DOLINAR,DOLINŠEK,ERJAVEC,ERŽEN,FILIPIČ,FRAS,FURLAN,GAJŠEK,GODEC,GOLOB,GOMBOC,GORENC,GORIŠEK,GORJUP,GREGORIČ,GRUDEN,HAFNER,HORVAT,HOZJAN,HOČEVAR,HREN,HRIBAR,HRIBERNIK,HROVAT,HUMAR,IVANČIČ,JAMNIK,JANEŽIČ,JARC,JAVORNIK,JAZBEC,JELEN,JENKO,JEREB,JERIČ,JERMAN,JUG,KALAN,KASTELIC,KAUČIČ,KAVČIČ,KLEMENČIČ,KNEZ,KOBAL,KOCJAN,KOCJANČIČ,KODRIČ,KOGOVŠEK,KOKALJ,KOKOL,KOLAR,KOLARIČ,KOLENC,KOREN,KOROŠEC,KOS,KOSI,KOTNIK,KOVAČ,KOVAČIČ,KOČEVAR,KOŠIR,KOŽELJ,KRAJNC,KRALJ,KRAMAR,KRAMBERGER,KRANJC,KRANJEC,KRAŠOVEC,KRISTAN,KRIVEC,KUHAR,KUMER,LAH,LAVRIČ,LAZAR,LEBAN,LEBAR,LESJAK,LESKOVAR,LEŠNIK,LIKAR,LOGAR,MAJCEN,MARKOVIČ,MAROLT,MAVRIČ,MAČEK,MEDVED,MEGLIČ,MESARIČ,MIHELIČ,MIKLAVČIČ,MIKLIČ,MLAKAR,MLINAR,MLINARIČ,MOHORIČ,MOČNIK,MRAK,NEMEC,NOVAK,OBLAK,PAPEŽ,PAVLIN,PAVLIČ,PERKO,PETEK,PETRIČ,PETROVIČ,PEČNIK,PINTAR,PINTARIČ,PIRC,PIRNAT,PODGORŠEK,POGAČNIK,POTOČNIK,POVŠE,PRIMOŽIČ,PUŠNIK,RAJH,RAMŠAK,RESNIK,RIBIČ,ROZMAN,ROŽIČ,ROŽMAN,RUPNIK,RUS,RUTAR,SEVER,SIMONIČ,SITAR,SKOK,STOPAR,SUŠNIK,TAVČAR,TOMAŽIČ,TOMŠIČ,TOPLAK,TRATNIK,TRČEK,TURK,URŠIČ,VESEL,VIDIC,VIDMAR,VIDOVIČ,VODOPIVEC,VOLK,VOVK,ZADRAVEC,ZAJC,ZAKRAJŠEK,ZALAR,ZALOKAR,ZALOŽNIK,ZEMLJIČ,ZORKO,ZORMAN,ZUPAN,ZUPANC,ZUPANČIČ,ZVER,ČEH,ČERNE,ČUK,ŠINKOVEC,ŠMID,ŠTRUKELJ,ŠULIGOJ,ŠUŠTAR,ŠUŠTERŠIČ,ŽAGAR,ŽELEZNIK,ŽIBERT,ŽIŽEK,ŽNIDARŠIČ
Slovenj Gradec,173.7,16662.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,2.0,11.0,4.0,1.0,1.0,18.0,1.0,0.0,10.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,12.0,3.0,0.0,82.0,15.0,1.0,0.0,0.0,0.0,16.0,2.0,0.0,1.0,5.0,1.0,0.0,10.0,32.0,4.0,6.0,8.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,14.0,10.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,9.0,0.0,3.0,5.0,0.0,11.0,0.0,0.0,0.0,8.0,0.0,2.0,26.0,0.0,2.0,11.0,0.0,13.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,21.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0
Slovenska Bistrica,334.4,31076.0,1.0,10.0,1.0,0.0,4.0,3.0,7.0,2.0,20.0,3.0,4.0,0.0,11.0,1.0,7.0,0.0,5.0,1.0,2.0,7.0,0.0,6.0,0.0,0.0,5.0,6.0,3.0,23.0,29.0,17.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,31.0,2.0,0.0,9.0,1.0,11.0,4.0,0.0,4.0,3.0,1.0,0.0,14.0,2.0,16.0,0.0,11.0,4.0,1.0,34.0,3.0,1.0,1.0,6.0,5.0,16.0,0.0,1.0,1.0,44.0,0.0,0.0,10.0,33.0,4.0,0.0,37.0,74.0,38.0,4.0,15.0,15.0,41.0,1.0,6.0,0.0,20.0,10.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,7.0,12.0,22.0,1.0,0.0,0.0,0.0,2.0,67.0,43.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,9.0,5.0,34.0,2.0,0.0,1.0,47.0,5.0,1.0,1.0,5.0,0.0,2.0,34.0,1.0,5.0,1.0,11.0,3.0,7.0,6.0,9.0,6.0,2.0,2.0,10.0,2.0,4.0,0.0,42.0,0.0,3.0,19.0,6.0,7.0,1.0,6.0,8.0,7.0,0.0,4.0,2.0,0.0,5.0,4.0,1.0,0.0,5.0,0.0,0.0,25.0,0.0,2.0,2.0,0.0,6.0,6.0,1.0,1.0,27.0,4.0,1.0,5.0,10.0,0.0,0.0,1.0,1.0,5.0,4.0,6.0,27.0,2.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,6.0,1.0,0.0,4.0,3.0
Slovenske Konjice,97.8,14346.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,8.0,4.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,18.0,0.0,17.0,12.0,0.0,2.0,1.0,1.0,1.0,7.0,3.0,4.0,0.0,2.0,2.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0,27.0,3.0,5.0,3.0,20.0,7.0,0.0,23.0,11.0,18.0,0.0,11.0,0.0,14.0,6.0,0.0,2.0,2.0,0.0,1.0,4.0,1.0,2.0,7.0,2.0,0.0,0.0,0.0,1.0,2.0,54.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,25.0,2.0,2.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,8.0,0.0,18.0,4.0,0.0,3.0,5.0,1.0,1.0,0.0,8.0,0.0,14.0,0.0,2.0,7.0,6.0,3.0,0.0,30.0,10.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,5.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,22.0,0.0,8.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0
Sodražica,49.5,2148.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,12.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solčava,102.8,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Starše,34.0,4093.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,3.0,4.0,0.0,0.0,0.0,9.0,0.0,1.0,5.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,10.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sveta Ana,37.2,2368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sveti Andraž v Slovenskih goricah,17.6,1207.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Sveti Jurij,51.3,2869.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,1.0,4.0,2.0,0.0,7.0,0.0,1.0,1.0,11.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tabor,34.8,1693.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tolmin,381.5,10953.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,3.0,9.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,46.0,9.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,18.0,0.0,0.0,4.0,54.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,129.0,0.0,14.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,22.0,1.0,0.0,2.0,9.0,30.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,120.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,21.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Trbovlje,57.8,17545.0,0.0,12.0,1.0,0.0,4.0,1.0,17.0,2.0,1.0,0.0,9.0,15.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,10.0,3.0,9.0,8.0,2.0,1.0,0.0,0.0,5.0,3.0,7.0,1.0,5.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,9.0,8.0,25.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,6.0,4.0,1.0,4.0,0.0,18.0,0.0,1.0,12.0,0.0,1.0,0.0,15.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,15.0,0.0,6.0,1.0,6.0,18.0,0.0,5.0,23.0,22.0,0.0,8.0,2.0,8.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,5.0,3.0,0.0,10.0,4.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,0.0,1.0,17.0,0.0,0.0,0.0,2.0,0.0,9.0,6.0,2.0,0.0,2.0,3.0,1.0,16.0,1.0,1.0,3.0,5.0,0.0,15.0,5.0,4.0,8.0,3.0,3.0,7.0,3.0,0.0,1.0,10.0,5.0,0.0,5.0,3.0,4.0,4.0,4.0,12.0,2.0,0.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,8.0,8.0,0.0,2.0,1.0,0.0,4.0,0.0,6.0,11.0,0.0,1.0,0.0,1.0,1.0,3.0,8.0,0.0,2.0,0.0,0.0,5.0,0.0,27.0,7.0,22.0,0.0,0.0,4.0,2.0,7.0,4.0,0.0,1.0,3.0,1.0,29.0,10.0,12.0,0.0,8.0
Trebnje,345.9,22643.0,0.0,4.0,4.0,0.0,20.0,0.0,23.0,16.0,14.0,1.0,5.0,19.0,3.0,18.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,9.0,4.0,1.0,0.0,1.0,0.0,4.0,31.0,0.0,35.0,8.0,5.0,2.0,1.0,1.0,3.0,0.0,37.0,7.0,20.0,0.0,9.0,3.0,0.0,4.0,22.0,16.0,1.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,1.0,46.0,0.0,3.0,18.0,11.0,1.0,8.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,39.0,0.0,11.0,31.0,0.0,7.0,12.0,39.0,1.0,3.0,18.0,0.0,16.0,9.0,0.0,6.0,0.0,1.0,4.0,0.0,2.0,3.0,12.0,8.0,3.0,1.0,0.0,7.0,0.0,1.0,0.0,7.0,16.0,7.0,14.0,0.0,0.0,18.0,12.0,0.0,0.0,5.0,23.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,85.0,0.0,17.0,9.0,3.0,4.0,0.0,1.0,0.0,2.0,9.0,2.0,12.0,0.0,0.0,2.0,1.0,9.0,5.0,0.0,0.0,0.0,3.0,15.0,6.0,3.0,0.0,1.0,7.0,0.0,9.0,0.0,11.0,0.0,5.0,1.0,1.0,6.0,12.0,0.0,1.0,0.0,7.0,6.0,1.0,0.0,23.0,0.0,2.0,0.0,9.0,0.0,17.0,22.0,3.0,0.0,0.0,0.0,0.0,5.0,15.0,4.0,113.0,0.0,20.0,2.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,16.0,17.0,10.0,0.0,17.0
Trnovska vas,22.9,1312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Trzin,8.6,3682.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,5.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,12.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,4.0
