"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SIE00115176","2008-12-31","46.2","15.2","242.0","CELJE MEDLOG, SI","    1",",,E",,,,
"SIE00115176","2009-01-01","46.2","15.2","242.0","CELJE MEDLOG, SI","    2",",,E","  -30",",,E","  -94",",,E"
"SIE00115176","2009-01-02","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","  -23",",,E","  -49",",,E"
"SIE00115176","2009-01-03","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","   -5",",,E","  -85",",,E"
"SIE00115176","2009-01-04","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","    7",",,E"," -129",",,E"
"SIE00115176","2009-01-05","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","   -2",",,E"," -110",",,E"
"SIE00115176","2009-01-06","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","  -23",",,E"," -105",",,E"
"SIE00115176","2009-01-07","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","   -4",",,E","  -68",",,E"
"SIE00115176","2009-01-08","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","   -5",",,E","  -90",",,E"
"SIE00115176","2009-01-09","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","  -13",",,E"," -138",",,E"
"SIE00115176","2009-01-10","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","  -20",",,E"," -136",",,E"
"SIE00115176","2009-01-11","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","  -53",",,E"," -114",",,E"
"SIE00115176","2009-01-12","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","  -65",",,E","  -85",",,E"
"SIE00115176","2009-01-13","46.2","15.2","242.0","CELJE MEDLOG, SI","   16",",,E","  -27",",,E","  -84",",,E"
"SIE00115176","2009-01-14","46.2","15.2","242.0","CELJE MEDLOG, SI","  122",",,E","  -32",",,E","  -57",",,E"
"SIE00115176","2009-01-15","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","   10",",,E","  -62",",,E"
"SIE00115176","2009-01-16","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","   32",",,E","  -52",",,E"
"SIE00115176","2009-01-17","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","   31",",,E","  -40",",,E"
"SIE00115176","2009-01-18","46.2","15.2","242.0","CELJE MEDLOG, SI","    4",",,E","   75",",,E","  -81",",,E"
"SIE00115176","2009-01-19","46.2","15.2","242.0","CELJE MEDLOG, SI","   27",",,E","   79",",,E","  -14",",,E"
"SIE00115176","2009-01-20","46.2","15.2","242.0","CELJE MEDLOG, SI","    1",",,E","  130",",,E","   26",",,E"
"SIE00115176","2009-01-21","46.2","15.2","242.0","CELJE MEDLOG, SI","  297",",,E","   88",",,E","    8",",,E"
"SIE00115176","2009-01-22","46.2","15.2","242.0","CELJE MEDLOG, SI","    1",",,E","   54",",,E","    1",",,E"
"SIE00115176","2009-01-23","46.2","15.2","242.0","CELJE MEDLOG, SI","    5",",,E","   40",",,E","    3",",,E"
"SIE00115176","2009-01-24","46.2","15.2","242.0","CELJE MEDLOG, SI","    5",",,E","   55",",,E","    9",",,E"
"SIE00115176","2009-01-25","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","   50",",,E","    6",",,E"
"SIE00115176","2009-01-26","46.2","15.2","242.0","CELJE MEDLOG, SI","   66",",,E","   71",",,E","   -5",",,E"
"SIE00115176","2009-01-27","46.2","15.2","242.0","CELJE MEDLOG, SI","  352",",,E","   15",",,E","    0",",,E"
"SIE00115176","2009-01-28","46.2","15.2","242.0","CELJE MEDLOG, SI","    5",",,E","   25",",,E","    0",",,E"
"SIE00115176","2009-01-29","46.2","15.2","242.0","CELJE MEDLOG, SI","    1",",,E","   29",",,E","    1",",,E"
"SIE00115176","2009-01-30","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","   16",",,E","    0",",,E"
"SIE00115176","2009-01-31","46.2","15.2","242.0","CELJE MEDLOG, SI","    0",",,E","   15",",,E","  -15",",,E"
"SIE00115176","2009-02-01","46.2","15.2","242.0","CELJE MEDLOG, SI","   79",",,E","    3",",,E","  -18",",,E"
"SIE00115176","2009-02-02","46.2","15.2","242.0","CELJE MEDLOG, SI","  141",",,E","    5",",,E","  -16",",,E"
